Table 1
Table W-1. Homeowner Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
Exterior*,"6,633","4,077","27,042","6,676","4,190","27,970","7,007","4,519","31,668","7,389","4,373","32,313","6,442","4,879","31,431","7,272","5,661","41,165","7,628","5,670","43,257","7,539","4,734","35,688","7,814","5,602","43,774","7,279","5,796","42,188","7,904","6,232","49,254"
Roofing,"2,515","4,695","11,806","2,837","4,863","13,795","3,479","4,221","14,685","3,406","4,432","15,093","2,887","5,072","14,642","3,490","5,832","20,355","3,389","5,773","19,566","3,403","5,101","17,362","3,754","6,252","23,473","3,631","6,798","24,682","4,022","6,745","27,126"
Siding,"1,068","6,194","6,616","1,154","5,588","6,448","1,287","6,019","7,744","1,227","5,506","6,753","1,094","6,056","6,626","1,219","6,425","7,829","1,205","5,910","7,120","1,158","4,341","5,027","1,103","5,013","5,532","1,051","4,819","5,065","1,137","5,641","6,413"
Windows or doors,"4,178","2,063","8,619","3,933","1,965","7,727","4,001","2,310","9,239","4,481","2,336","10,467","3,853","2,638","10,163","4,284","3,030","12,981","4,599","3,121","14,352","4,480","2,657","11,904","4,461","2,886","12,875","3,878","2,851","11,056","4,347","3,212","13,960"
"Chimney, stairs or other exterior††",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,"7,856","2,219",219,"6,355","1,394",241,"7,847","1,895",217,"6,368","1,385",739,"2,373","1,755"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Additions & Replacements,"5,668","1,778","10,076","5,489","1,958","10,746","8,232","2,433","20,029","8,657","2,388","20,676","8,058","2,511","20,231","8,644","3,270","28,262","9,009","3,417","30,781","8,314","2,433","20,231","8,566","2,613","22,380","7,714","3,068","23,664","7,268","2,938","21,352"
Insulation,"1,321",630,833,"1,197",560,670,"1,320",877,"1,158","1,454",914,"1,328","1,154",682,787,"1,328","2,384","3,166","1,642","1,624","2,667","1,840","1,029","1,893","2,101","1,110","2,333","1,610","1,250","2,013","1,764","1,450","2,557"
"Carpeting, flooring, paneling or ceiling tiles","3,920","1,750","6,860","3,987","1,811","7,219","7,204","2,292","16,511","7,517","2,246","16,883","7,244","2,402","17,401","7,644","2,775","21,212","7,781","2,915","22,683","7,041","2,239","15,764","7,116","2,501","17,793","6,411","2,782","17,836","6,024","2,723","16,405"
Other major improvements inside home,"1,253","1,902","2,383","1,038","2,753","2,857",807,"2,924","2,360",830,"2,969","2,464",659,"3,099","2,043",862,"4,507","3,884",928,"5,853","5,432",840,"3,066","2,574",682,"3,306","2,254",832,"4,588","3,816",620,"3,852","2,389"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Systems and Equipment ,"9,631","1,711","16,475","9,691","1,868","18,103","10,375","1,847","19,165","11,140","1,891","21,062","10,220","1,935","19,772","11,019","2,252","24,818","12,248","2,481","30,387","12,415","2,085","25,884","13,047","2,423","31,612","12,677","2,486","31,514","13,706","2,838","38,898"
Internal Water Pipes,"1,355",974,"1,321","1,440",827,"1,191","1,554",757,"1,177","1,538",918,"1,413","1,367","1,140","1,558","1,550","1,317","2,042","1,573","1,566","2,464","1,624","1,042","1,692","1,502","1,111","1,668","1,461","1,203","1,757","1,769","1,526","2,701"
Plumbing Fixtures,"1,898",588,"1,115","2,068",642,"1,328","3,212",679,"2,180","3,652",718,"2,623","3,324",741,"2,463","3,726",827,"3,081","4,184","1,056","4,416","4,146",870,"3,607","4,120",837,"3,447","4,037",975,"3,937","4,559","1,088","4,961"
Electrical System,"2,037",749,"1,526","2,160","1,132","2,446","2,147",810,"1,739","2,282","1,017","2,320","2,017","1,029","2,075","2,275","1,099","2,500","2,538","1,486","3,771","2,455","1,046","2,567","2,274","1,190","2,706","2,208","1,287","2,841","2,507","1,491","3,738"
